Name,ForceSensor1,,,,
Type,ForceSensor,,,,
Voltage Reference,3.3,,,,
ADC Resolution,12,,,,
Rm,3300,,,,
Specification:,https://cdn.sparkfun.com/datasheets/Sensors/ForceFlex/FLX-A201-A.pdf,,,,
Relationship,Log-log,,,,
Input,Output,Input (log),Output (log),slope (log),intercept (log)
30000,20,4.4771212547,1.3010299957,,
10000,50,4,1.6989700043,-0.8340437671,5.0351450729
7000,100,3.84509804,2,-1.9433582099,9.4724028438
3000,260,3.4771212547,2.414973348,-1.1277161075,6.3361789947
2000,500,3.3010299957,2.6989700043,-1.6127811107,8.0228088272
1500,1000,3.1760912591,3,-2.4094208397,10.6525404682
750,2000,2.8750612634,3.3010299957,-1,6.1760912591
200,7000,2.3010299957,3.84509804,-0.9478021058,6.0260191154
190,10000,2.278753601,4,,
,,,,,
,,,,avg slope:,-1.4107317344
,,,,avg intercept:,7.3887409402
,,,,,
,,,,,
,,,,,
,,Input (log),Output (log),Input,Output
,,5,0.3350822683,100000,2.1631282456
,,4.9,0.4761554417,79432.8234724282,2.9933358129
,,4.8,0.6172286151,63095.7344480194,4.1421766403
,,4.7,0.7583017886,50118.7233627274,5.7319420177
,,4.6,0.899374962,39810.7170553499,7.9318585729
,,4.5,1.0404481355,31622.7766016839,10.9761020307
,,4.4,1.1815213089,25118.8643150959,15.1887246451
,,4.3,1.3225944823,19952.6231496889,21.0181497676
,,4.2,1.4636676558,15848.9319246112,29.0849054134
,,4.1,1.6047408292,12589.2541179418,40.2476779479
,,4,1.7458140027,10000.0000000001,55.6947171452
,,3.9,1.8868871761,7943.2823472429,77.0703224644
,,3.8,2.0279603495,6309.573444802,106.649874696
,,3.7,2.169033523,5011.8723362728,147.58204467
,,3.6,2.3101066964,3981.071705535,204.2239615476
,,3.5,2.4511798698,3162.2776601684,282.6050185405
,,3.4,2.5922530433,2511.8864315096,391.0686870387
,,3.3,2.7333262167,1995.2623149689,541.1606586889
,,3.2,2.8743993902,1584.8931924611,748.8578559695
,,3.1,3.0154725636,1258.9254117942,1036.2691364261
,,3,3.156545737,1000,1433.9887263637
,,2.9,3.2976189105,794.3282347243,1984.3529012455
,,2.8,3.4386920839,630.9573444802,2745.946578441
,,2.7,3.5797652574,501.1872336273,3799.8395380778
,,2.6,3.7208384308,398.1071705535,5258.2161024183
,,2.5,3.8619116042,316.2277660168,7276.3168819801
,,2.4,4.0029847777,251.188643151,10068.9637580015
,,2.3,4.1440579511,199.5262314969,13933.4271451296
,,2.2,4.2851311245,158.4893192461,19281.0696983945
,,2.1,4.426204298,125.8925411794,26681.134859509
